name,address,number,lat,long
정류소-도로(가로)변,서울특별시 강남구 대치동 미도아파트,-,37.4955,127.0671
도로변(횡단보도 포함),서울특별시 강남구 선경아파트 5동,-,37.4931,127.063
정류소-도로(가로)변,서울특별시 강남구 도곡동 타워팰리스 F동 ,-,37.4898,127.0555
정류소-도로(가로)변,서울특별시 강남구 개포동 650 구룡중학교 ,-,37.4858,127.0571
정류소-도로(가로)변,서울특별시 강남구 개포동 주공1단지(3동),-,37.4814,127.0619
정류소-도로(가로)변,서울특별시 강남구 개포동 래미안블레스티지 223동 ,-,37.4802,127.0637
정류소-도로(가로)변,서울특별시 강남구 개포동 개포연금매장,-,37.4825,127.061
정류소-도로(가로)변,서울특별시 강남구 개포동 경남아파트 상가,-,37.4843872,127.054267
정류소-도로(가로)변,서울특별시 강남구 도곡동 467-18,-,37.4870602,127.0510637
정류소-도로(가로)변,서울특별시 강남구 개포동 1194-6,-,37.4743368,127.048422
정류소-도로(가로)변,서울특별시 강남구 개포동 1229-4,-,37.4773465,127.0453232
도로변(횡단보도 포함),서울특별시 강남구 도곡동 518-10,-,37.4823936,127.0430248
도로변(횡단보도 포함),서울특별시 강남구 도곡동 459-4,-,37.4833009,127.0469073
정류소-도로(가로)변,서울특별시 강남구 일원본동 일원역,-,37.483869,127.084032
정류소-도로(가로)변,서울특별시 강남구 일원로 21 서울영희초등학교,-,37.4915,127.0806
1전출구정류소-도로(가로)변,서울특별시 강남구 수서역,-,37.4864403,127.0961272
정류소-도로(가로)변,서울특별시 강남구 수서동 수서동익아파트,-,37.4855,127.0973
정류소-도로(가로)변,서울특별시 강남구 일원본동 푸른마을아파트,-,37.4829,127.0805
정류소-도로(가로)변,서울특별시 강남구 일원본동 731,-,37.4818107,127.0777022
정류소-도로(가로)변,서울특별시 강남구 수서동 724,-,37.4872829,127.1031088
정류소-도로(가로)변,서울특별시 강남구 세곡동 주민센터,-,37.4690094,127.1069041
정류소-도로(가로)변,서울특별시 강남구 세곡동사거리,-,37.4647718,127.1082653
도로변(횡단보도 포함),서울특별시 강남구 세곡동 리엔파크,-,37.463,127.1038
도로변(횡단보도 포함),서울특별시 강남구 세곡동 대왕초교,-,37.4648,127.1052
정류소-도로(가로)변,서울특별시 강남구 개포6단지,-,37.49,127.0705
정류소-도로(가로)변,서울특별시 강남구 개포시립도서관,-,37.4838,127.0641
정류소-도로(가로)변,서울특별시 강남구 개포동 273 포이초등학교,-,37.4753,127.0527
정류소-도로(가로)변,서울특별시 강남구 개포동 272 국악고등학교,-,37.4756,127.0506
정류소-도로(가로)변,서울특별시 강남구 역삼동747-24,-,37.4961951,127.0387017
정류소-도로(가로)변,서울특별시 강남구 LH푸르지오 201동 정류장,-,37.4672,127.0943
정류소-도로(가로)변,서울특별시 강남구 LH푸르지오 201동 건너편 정류장,-,37.4672,127.0943
정류소-도로(가로)변,서울특별시 강남구 세곡중학교,-,37.4704,127.0918
광장등 다중집합장소,서울특별시 강남구 LH강남힐즈테이트 505동,-,37.4703,127.0887
정류소-도로(가로)변,서울특별시 강남구 래미안강남힐즈,-,37.4724,127.0953
정류소-도로(가로)변,서울특별시 강남구 못골마을,-,37.4729,127.1013
정류소-도로(가로)변,서울특별시 강남구 대왕파출소,-,37.4652,127.1076
정류소-도로(가로)변,서울특별시 강남구 삼성병원 견너편,-,37.4907,127.0876
정류소-도로(가로)변,서울특별시 강남구 헌릉로590길 60,-,37.4607,127.1031
정류소-도로(가로)변,서울특별시 강남구 휘문중고,-,37.5042,127.0616
도로(가로)변,서울특별시 강동구 풍성로 207,-,37.5293782,127.1348613
(암사역 방면) 버스정류장 (25-153),서울특별시 강동구 암사동 508 ,-,37.55410579999999,127.1271601
(신암중학교 방면) 버스정류장(25-154),서울특별시 강동구 암사동 508,-,37.55410579999999,127.1271601
